Talks_Participation_19_20,Wanted_Programming_Languages,Coding_as_Hobby,Teaching_Problems_POV,Professional_Prod_Env,Open_Source_Participation,Daily_Web_Frameworks,Graduation_Employment_Gap,Preferred_Company_Type,Coding_Experience,Fav_Programming_Languages,Online_InPerson_Preferrence,Side_Projects,Daily_Paltforms,Blog_Posting,Salary_Range_DH,Country,Gender,Reentery_Plans,Learning_Platforms,Primary_OS,Job_Title,Wanted_Web_Frameworks,Local_Dialect_Content,Covid_Remote_Adoption,Teaching_Jobs_Gap,Overtime_Frequency,Daily_Programming_Languages,Moroccan_Community_AutoEval,Help_Sources,Local_Community_Membership,Education,Daily_IDE,Moroccan_DevC_Membership,startTime,Continuous_Learning_Frequency,Event_Attendence_19_20,Immigration_Plans,Wanted_Platforms,Job_Satisfaction,Preferred_Job_Criteria,Employment_Status,Read_Write_Languages,English_Barrier,Age
0,"['JavaScript', 'TypeScript', 'Kotlin']",Yes,"['Teachers', 'Academic defined subjects (system)']",['Not Sure'],['I am maintaining my own project'],['Spring Ecosystem'],More than 1 year,Medium company,Less than 1 year,"['SQL', 'Java']",Li ja bismilah,For learning,['React Native'],Thinking of it.,< 6 000,Morocco,Male,Yes,"['YouTube', 'Official documentation', 'Blog posts']",Windows,"Developer, back-end",['React.js'],Both,The company started remote after covid,Enough to start,Occasionally: 1-2 days per quarter but less than monthly ,"['SQL', 'Java']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",NO,Bac +3,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",I don’t know Facebook Developer circles,1604415305731,Every few months,1-3,Yes,['React Native'],Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",Yes,25 to 29 years
0,"['JavaScript', 'Java', 'Go', 'Kotlin', 'R']",Yes,['Academic defined subjects (system)'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Django'],,Multinational company,Less than 1 year,"['SQL', 'Python']",Li ja bismilah,For learning,['Other'],Thinking of it.,,Morocco,Male,Yes,"['YouTube', 'Paid platforms']",Linux-based,Data scientist or machine learning specialist,"['React.js', 'Angular']",Both,,Enough to start,,"['HTML/CSS  😉', 'Python', 'C']",Good,['Watch help/tutorial videos'],Yes,Bac +2,"['VS Code', 'Sublime']",Yes,1604481004595,Every few months,0,No,"['Pandas', 'TensorFlow', 'Flutter', 'Keras']",,['Flex time or a flexible schedule'],Student,"['Arabic', 'French', 'English', 'Others']",No,15 to 19 years
1 - 3 talks,['C#'],Yes,"['Students', 'Teachers', 'Companies engagement with academia']",['Not Sure'],['I don’t have an account on Github (or alternatives).'],"['Angular', 'ASP.NET', 'ASP.NET Core']",Few months,Startup,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'C#', 'TypeScript']",In-person events?,For learning,['.NET'],Yes  less than 10 blog posts,6 000 - 8 000,Morocco,Male,Yes,['YouTube'],Windows,"Developer, full-stack",['Other'],Both,The company started remote after covid,Enough to start,Never,['C#'],Excellent,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",Yes,Bac +3,['VS Code'],Yes,1604588910842,Every few months,1-3,Yes,['.NET'],Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'French', 'English', 'Others']",Yes,25 to 29 years
0,"['JavaScript', 'Java', 'C#', 'PHP', 'Assembly']",Yes,['Academic defined subjects (system)'],['Not Sure'],['I am maintaining my own project'],['ASP.NET'],,Multinational company,Less than 1 year,"['Python', 'C++']",Li ja bismilah,For learning,['.NET'],Thinking of it.,,Morocco,Male,,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",Windows,Educator,"['jQuery', 'React.js', 'Angular', 'Vue.js', 'Angular.js']",Spoken,,Not enough,Never,"['Python', 'C++']",Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Self-taught,"['VS Code', 'Sublime']",Yes,1604720823907,Once a year,1-3,No,"['Node.js', 'Unity 3D']",,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Salary']",Student,"['Arabic', 'French', 'English']",Yes,20 to 24 years
0,"['TypeScript', 'Go', 'Kotlin']",Yes,['Academic defined subjects (system)'],['Full Cloud'],['I am maintaining my own project'],"['React.js', 'Express']",0 months,Startup,1-3 years,"['JavaScript', 'Python', 'Java']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,10 000 - 13 000,Morocco,Male,No,"['YouTube', 'Paid platforms', 'Books', 'Blog posts']",Linux-based,"Developer, full-stack","['Django', 'Gatsby', 'Next']",No,The company started remote after covid,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉']",Not Bad,"['Stackoverflow', 'Do other work and come back later.']",NO,Bac +5,"['VS Code', 'Sublime']",Yes,1604197797563,Every few months,0,Yes,"['React Native', 'Flutter', 'Apache Spark']",Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,20 to 24 years
0,['PHP'],Yes,['Academic defined subjects (system)'],"['Full Cloud', 'Managed PaaS (heroku, app platform ...)']",['I don’t have an account on Github (or alternatives).'],"['jQuery', 'React.js', 'Vue.js']",Less than 1 year,Freelance,5-10 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'PHP', 'C++', 'C', 'Go', 'R', 'Dart']",Li ja bismilah,NO,"['Node.js', 'Flutter', 'Apache Spark']",Thinking of it.,< 6 000,Morocco,Male,Yes,['YouTube'],Windows,"Developer, mobile","['jQuery', 'React.js', 'Vue.js']",No,The company started remote after covid,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'PHP']",Excellent,['Google it'],NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'Eclipse', 'Netbeans', 'Other']",I don’t know Facebook Developer circles,1604494964134,Every few months,0,No,"['Node.js', 'React Native', 'Flutter', 'Apache Spark', 'Other']",Very satisfied,"['Languages, frameworks, and other technologies I’d be working with']",Looking for work,['French'],Yes,25 to 29 years
0,"['Bash/Shell/PowerShell', 'TypeScript', 'Objective-C', 'Dart', 'Other']",Yes,"['Teachers', 'Academic defined subjects (system)']",['Full Cloud'],['I don’t have an account on Github (or alternatives).'],"['jQuery', 'Laravel']",More than 1 year,Small company,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'Java', 'C#', 'PHP']",Li ja bismilah,NO,"['.NET', 'Pandas', 'TensorFlow', 'Unity 3D', 'Keras']",Thinking of it.,8 000 - 10 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts', 'Company resources', 'Others']",Windows,"Developer, full-stack","['React.js', 'Angular', 'Express', 'Vue.js', 'Angular.js', 'Flask']",No,The company started remote after covid,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Python', 'PHP']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Call a coworker or friend']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1604675639721,Every few months,1-3,Yes,"['Node.js', 'Flutter', 'Apache Spark', 'Torch/PyTorch']",Slightly satisfied,['Opportunities for professional development'],Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
0,['C++'],Yes,"['Students', 'Academic defined subjects (system)']",['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Django'],,Multinational company,Less than 1 year,"['Python', 'Java', 'C#', 'Kotlin']",Live/online events,For profit,"['Unity 3D', 'Torch/PyTorch']","No, I am not interested.",< 6 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Books']",Linux-based,Educator,['Angular'],Both,,Not enough,Often: 1-2 days per week or more,"['Python', 'C#']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos']",NO,Self-taught,['Vim'],I don’t know Facebook Developer circles,1604683281389,Every few months,0,Yes,['TensorFlow'],Very satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Salary']",Student,"['Arabic', 'Amazigh', 'French', 'English']",Yes,15 to 19 years
0,"['Go', 'Kotlin', 'Scala', 'Haskell']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",['Full Cloud'],['I maintain an organization project with +1k stars'],"['React.js', 'ASP.NET', 'ASP.NET Core']",0 months,Multinational company,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'Java', 'C#', 'TypeScript']",Li ja bismilah,For learning,['.NET'],Thinking of it.,> 25 000,Europe,Male,Yes,"['YouTube', 'Paid platforms', 'Official documentation', 'Blog posts', 'Company resources']",Windows,"Developer, full-stack","['ASP.NET Core', 'Spring Ecosystem', 'Gatsby', 'Next']",Spoken,We were doing remote before,Not enough,Occasionally: 1-2 days per quarter but less than monthly ,"['JavaScript', 'HTML/CSS  😉', 'Java', 'C#']",Not Bad,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Sublime']",Yes,1604480340637,Once a decade,1-3,Yes,"['TensorFlow', 'React Native']",Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development', 'How widely used or impactful my work output would be', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,30 to 34 years
0,"['Kotlin', 'Scala']",No,['Students'],['Not Sure'],['I am maintaining my own project'],['ASP.NET Core'],0 months,Medium company,Less than 1 year,"['SQL', 'Java', 'C#', 'C++', 'C']",In-person events?,For learning,['.NET'],Yes  less than 10 blog posts,13 000 - 15 000,Europe,Male,Yes,"['YouTube', 'Blog posts']",Windows,"Developer, full-stack",['Angular'],Both,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,['C#'],Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1604612212660,Once a year,0,Yes,['TensorFlow'],Slightly dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Flex time or a flexible schedule', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,20 to 24 years
0,"['TypeScript', 'Rust', 'Dart', 'Haskell', 'Other']",Yes,"['Teachers', 'Academic defined subjects (system)']",['Not Sure'],"['Yes, few PRs in multiple projects']",['Other'],Few months,Small company,Less than 1 year,"['HTML/CSS 😉', 'SQL', 'Python']",Li ja bismilah,For profit,['Other'],Thinking of it.,,Morocco,Male,No,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts', 'Company resources', 'Others']",Windows + WSL2,Designer,"['React.js', 'Gatsby', 'Next', 'Other']",No,,Not enough,Sometimes: 1-2 days per month but less than weekly,"['JavaScript', 'HTML/CSS  😉', 'Bash/Shell/PowerShell', 'C']",Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos']",NO,Bac +3,"['VS Code', 'Vim']",I don’t know Facebook Developer circles,1604428151159,Once every few years,0,No,"['Node.js', 'Flutter', 'Other']",,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'The industry that I’d be working in', 'Salary']",Student,"['Arabic', 'French', 'English']",No,25 to 29 years
1 - 3 talks,"['Python', 'Bash/Shell/PowerShell']",Yes,['Teachers'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Other'],Few months,Multinational company,More than 10,"['HTML/CSS 😉', 'Bash/Shell/PowerShell', 'PHP']",Li ja bismilah,For profit,['Other'],Thinking of it.,8 000 - 10 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Others']",MacOS,System administrator,"['jQuery', 'ASP.NET', 'ASP.NET Core', 'Django']",Written/Read,The company started remote after covid,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'PHP']",Good,"['Google it', 'Watch help/tutorial videos']",NO,Bac +5,['Other'],NO,1604146513044,Every few months,1-3,Yes,"['Node.js', '.NET', 'TensorFlow', 'Apache Spark']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Opportunities for professional development', 'Salary']",Employed full-time,"['Arabic', 'French']",No,35 to 39 years
0,"['Python', 'Perl']",No,['Academic defined subjects (system)'],['on-premise'],['I don’t have an account on Github (or alternatives).'],['Other'],0 months,Multinational company,5-10 years,['JavaScript'],In-person events?,NO,['Other'],Thinking of it.,> 25 000,Europe,Female,No,"['YouTube', 'Blog posts']",Windows,"Developer, QA, or test",['Other'],Both,The company started remote after covid,Enough to start,Rarely: 1-2 days per year or less ,['Other'],Not Bad,['Google it'],NO,Bac +5,"['Eclipse', 'Other']",NO,1604659075439,Once a decade,1-3,Yes,['Other'],Neither satisfied nor dissatisfied,"['Flex time or a flexible schedule', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,30 to 34 years
0,['TypeScript'],Yes,"['Students', 'Teachers']",['Full Cloud'],"['Yes, few PRs in multiple projects']","['React.js', 'Vue.js']",Few months,Startup,5-10 years,['JavaScript'],In-person events?,For learning,['React Native'],Yes  less than 10 blog posts,15 000 - 20 000,Morocco,Male,Yes,"['Official documentation', 'Blog posts']",MacOS,Engineering manager,['Express'],No,We were doing remote before,Enough to start,Sometimes: 1-2 days per month but less than weekly,['JavaScript'],Not Bad,"['Google it', 'Stackoverflow']",NO,Bac +5,['VS Code'],NO,1604651051862,Once a year,0,Yes,['Node.js'],Slightly satisfied,['Opportunities for professional development'],"Freelancer, or self-employed","['Arabic', 'French', 'English']",Yes,25 to 29 years
More than 3,"['SQL', 'Python', 'Objective-C', 'Julia', 'Other']",Yes,"['Teachers', 'Companies engagement with academia']","['Full Cloud', 'Hybrid Cloud', 'shared hosting']",['I am maintaining my own project'],"['jQuery', 'React.js', 'Angular', 'Django']",,Small company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'Java', 'C']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,,Morocco,Male,,"['YouTube', 'Paid platforms', 'Books', 'Others']",Windows,Designer,"['ASP.NET', 'Angular.js', 'Flask']",Written/Read,The company started remote after covid,Enough to start,Never,['HTML/CSS  😉'],Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.']",Yes,Bac +2,['Atom'],Yes,1604651412664,Every few months,1-3,No,"['.NET', 'Unity 3D', 'Keras', 'Xamarin']",,"['Languages, frameworks, and other technologies I’d be working with']",Student,"['Arabic', 'English']",Yes,20 to 24 years
0,"['JavaScript', 'Perl']",No,['Companies engagement with academia'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Other'],0 months,Multinational company,1-3 years,"['HTML/CSS 😉', 'Python', 'PHP']",Li ja bismilah,For profit,['Other'],Thinking of it.,< 6 000,Morocco,Female,No,"['Books', 'Official documentation', 'Blog posts']",Linux-based,"Developer, back-end","['jQuery', 'React.js', 'Angular', 'Django', 'Laravel', 'Symfony', 'Drupal']",Both,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['HTML/CSS  😉', 'Python']",Not Bad,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1604085532009,Once a decade,1-3,No,"['Node.js', '.NET', 'Pandas', 'TensorFlow']",Very dissatisfied,"['Opportunities for professional development', 'Remote work options', 'The industry that I’d be working in', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",Yes,20 to 24 years
0,['Go'],Yes,['Academic defined subjects (system)'],['Full Cloud'],['I don’t have an account on Github (or alternatives).'],['Other'],0 months,Small company,1-3 years,['Java'],Live/online events,For learning,['Other'],"No, I am not interested.",10 000 - 13 000,Morocco,Male,Yes,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",Linux-based,"Developer, back-end",['Other'],No,The company started remote after covid,Enough to start,Often: 1-2 days per week or more,['Java'],Excellent,['Google it'],NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1604752716550,Once a year,0,Yes,['Other'],Slightly satisfied,"['Opportunities for professional development', 'Remote work options', 'How widely used or impactful my work output would be', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",No,25 to 29 years
1 - 3 talks,"['PHP', 'C++', 'Assembly', 'Other']",Yes,['Academic defined subjects (system)'],['Not Sure'],['I am maintaining my own project'],"['jQuery', 'ASP.NET', 'Other']",Few months,Startup,1-3 years,"['HTML/CSS 😉', 'SQL', 'C#', 'C', 'Dart', 'Other']",In-person events?,For learning,"['.NET', 'Flutter', 'Other']",Thinking of it.,< 6 000,Morocco,Male,Yes,"['YouTube', 'Official documentation', 'Blog posts', 'Company resources', 'Others']",Windows,"Developer, full-stack","['React.js', 'Angular', 'Vue.js', 'Angular.js', 'Laravel', 'Symfony', 'Other']",Spoken,,Not enough,Often: 1-2 days per week or more,"['HTML/CSS  😉', 'SQL', 'C#', 'Dart', 'Other']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Bac +2,"['VS Code', 'Vim', 'Atom', 'Other']",I don’t know Facebook Developer circles,1604715547187,Every few months,1-3,No,"['Node.js', 'TensorFlow', 'React Native', 'Torch/PyTorch']",Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'Salary']",Student,"['Arabic', 'French', 'English']",Yes,20 to 24 years
0,"['TypeScript', 'Other']",Yes,['Academic defined subjects (system)'],"['shared hosting', 'Managed PaaS (heroku, app platform ...)']","['Yes, few PRs in multiple projects', 'I am maintaining my own project']","['Laravel', 'Other']",Few months,Multinational company,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'Java', 'PHP']",Li ja bismilah,NO,['Other'],Thinking of it.,< 6 000,Morocco,Male,Yes,"['YouTube', 'Official documentation', 'Blog posts', 'Company resources']",Linux-based,"Developer, full-stack","['React.js', 'Vue.js']",No,The company started remote after covid,Enough to start,Occasionally: 1-2 days per quarter but less than monthly ,['PHP'],Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Bac +3,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Vim']",Yes,1604675804450,Every few months,1-3,Yes,"['Node.js', 'React Native', 'Flutter']",Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Salary']",Employed full-time,"['Arabic', 'French', 'English', 'Others']",No,25 to 29 years
