Talks_Participation_19_20,Wanted_Programming_Languages,Coding_as_Hobby,Teaching_Problems_POV,Professional_Prod_Env,Open_Source_Participation,Daily_Web_Frameworks,Graduation_Employment_Gap,Preferred_Company_Type,Coding_Experience,Fav_Programming_Languages,Online_InPerson_Preferrence,Side_Projects,Daily_Paltforms,Blog_Posting,Salary_Range_DH,Country,Gender,Reentery_Plans,Learning_Platforms,Primary_OS,Job_Title,Wanted_Web_Frameworks,Local_Dialect_Content,Covid_Remote_Adoption,Teaching_Jobs_Gap,Overtime_Frequency,Daily_Programming_Languages,Moroccan_Community_AutoEval,Help_Sources,Local_Community_Membership,Education,Daily_IDE,Moroccan_DevC_Membership,startTime,Continuous_Learning_Frequency,Event_Attendence_19_20,Immigration_Plans,Wanted_Platforms,Job_Satisfaction,Preferred_Job_Criteria,Employment_Status,Read_Write_Languages,English_Barrier,Age
0,['JavaScript'],Yes,['Companies engagement with academia'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Spring Ecosystem'],0 months,Startup,Less than 1 year,['Java'],Li ja bismilah,For learning,['Apache Spark'],Thinking of it.,6 000 - 8 000,Morocco,Male,No,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",Linux-based,"Developer, back-end","['React.js', 'Angular', 'Angular.js']",Spoken,We were doing remote before,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['C#', 'C']",Not Bad,"['Google it', 'Stackoverflow', 'Call a coworker or friend']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603211039940,Every few months,0,Yes,"['Node.js', '.NET']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",No,20 to 24 years
0,"['C#', 'TypeScript', 'Go']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']","['on-premise', 'Hybrid Cloud', 'Managed PaaS (heroku, app platform ...)']",['I don’t have an account on Github (or alternatives).'],['Other'],0 months,Medium company,1-3 years,"['JavaScript', 'Java', 'Kotlin', 'Swift', 'Objective-C', 'Dart']",Li ja bismilah,For profit,"['Node.js', 'Flutter']","No, I am not interested.",8 000 - 10 000,Morocco,Male,No,"['YouTube', 'Official documentation', 'Blog posts']",MacOS,"Developer, mobile","['React.js', 'Angular', 'ASP.NET Core', 'Spring Ecosystem']",Both,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['Java', 'Kotlin', 'Swift', 'Objective-C']",Good,"['Google it', 'Do other work and come back later.']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603210400558,Once a year,1-3,No,"['.NET', 'Unity 3D']",Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,20 to 24 years
1 - 3 talks,"['Kotlin', 'R']",Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",['Not Sure'],['I am maintaining my own project'],"['jQuery', 'Other']",Few months,Startup,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'PHP', 'C++', 'VBA', 'Dart']",Li ja bismilah,For profit,"['TensorFlow', 'Flutter']",Yes more than 10 blog posts,10 000 - 13 000,Morocco,Male,Yes,['YouTube'],Windows,"Developer, front-end",['Next'],Spoken,No remote policy yet,Enough to start,Often: 1-2 days per week or more,"['Python', 'Dart']",Not Bad,['Google it'],NO,Bac +5,"['VS Code', 'Sublime', 'Atom']",I don’t know Facebook Developer circles,1603891477079,Every few months,1-3,No,"['TensorFlow', 'Flutter']",Neither satisfied nor dissatisfied,"['Office environment or company culture', 'Salary']","Freelancer, or self-employed","['Arabic', 'French', 'English']",No,20 to 24 years
1 - 3 talks,['Go'],Yes,['Companies engagement with academia'],['Hybrid Cloud'],"['Yes, few PRs in multiple projects']",['React.js'],0 months,Small company,5-10 years,"['Java', 'Haskell']",In-person events?,For learning,"['Node.js', 'React Native', 'Ansible', 'Apache Spark']",Yes more than 10 blog posts,> 25 000,Morocco,Male,Yes,['Blog posts'],MacOS,Senior executive/VP,['Other'],Spoken,We were doing remote before,Enough to start,Often: 1-2 days per week or more,['Java'],Not Bad,['Do other work and come back later.'],Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603215859827,Once a year,More than 3,No,['TensorFlow'],Very satisfied,['Office environment or company culture'],Employed full-time,"['Arabic', 'French', 'English']",No,35 to 39 years
0,"['Python', 'Swift', 'Objective-C']",Yes,['Academic defined subjects (system)'],"['Full Cloud', 'on-premise', 'Hybrid Cloud']","['Yes, few PRs in multiple projects', 'I am maintaining my own project']","['jQuery', 'React.js', 'Angular', 'Spring Ecosystem', 'Laravel', 'Symfony']",Less than 1 year,Multinational company,5-10 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Java', 'C#', 'PHP', 'TypeScript', 'C', 'Kotlin', 'Dart']",In-person events?,For learning,"['React Native', 'Flutter']",Thinking of it.,13 000 - 15 000,Morocco,Male,No,"['YouTube', 'Official documentation', 'Others']",Windows,"Developer, full-stack","['Angular', 'Express', 'Laravel']",No,We were doing remote before,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Java', 'PHP', 'TypeScript', 'Dart']",Not Bad,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Eclipse']",I don’t know Facebook Developer circles,1603542817961,Every few months,1-3,Yes,['Node.js'],Very satisfied,"['Office environment or company culture', 'Opportunities for professional development', 'Salary']","Freelancer, or self-employed","['French', 'English']",No,20 to 24 years
0,"['Go', 'Swift', 'Scala']",Yes,['Companies engagement with academia'],['Not Sure'],"['Yes, few PRs in multiple projects']",['Angular'],,Multinational company,3-5 years,"['JavaScript', 'Python', 'TypeScript', 'C', 'Go', 'Swift']",Live/online events,For profit,"['Node.js', 'Pandas', 'TensorFlow', 'Keras']",Thinking of it.,,Morocco,Male,Yes,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",MacOS,Data scientist or machine learning specialist,['React.js'],Spoken,,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'TypeScript']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603707823850,Once every few years,1-3,No,"['Flutter', 'Torch/PyTorch']",Very satisfied,"['Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'The industry that I’d be working in', 'Salary']",Student,"['Arabic', 'French', 'English']",No,20 to 24 years
0,"['JavaScript', 'SQL', 'Go']",No,['Teachers'],['Not Sure'],"['Yes, few PRs in multiple projects']",['React.js'],More than 1 year,Small company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'TypeScript']",Live/online events,For profit,['Node.js'],Thinking of it.,< 6 000,Morocco,Male,No,"['YouTube', 'Blog posts']",Windows,"Developer, front-end","['Vue.js', 'Gatsby']",Spoken,No remote policy yet,Not enough,Never,"['JavaScript', 'HTML/CSS  😉', 'TypeScript']",Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.']",NO,Bac +2,['VS Code'],Yes,1603216673772,Once a year,0,Yes,['React Native'],Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Remote work options']","Freelancer, or self-employed","['Arabic', 'English']",No,25 to 29 years
0,"['TypeScript', 'Go']",Yes,['Academic defined subjects (system)'],['Not Sure'],['I am maintaining my own project'],"['React.js', 'Express']",,Startup,1-3 years,"['JavaScript', 'Java', 'Dart']",Li ja bismilah,For learning,"['Node.js', 'Flutter']",Thinking of it.,,Morocco,Male,,['YouTube'],Windows,"Developer, back-end","['Spring Ecosystem', 'Next']",Both,,Enough to start,,"['JavaScript', 'Java']",Good,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603216692824,Once a decade,0,Yes,['TensorFlow'],,"['Office environment or company culture', 'Opportunities for professional development', 'How widely used or impactful my work output would be', 'Salary']",Student,"['Arabic', 'French']",Yes,20 to 24 years
0,['Kotlin'],Yes,['Academic defined subjects (system)'],['Full Cloud'],['I am maintaining my own project'],"['jQuery', 'Angular', 'Spring Ecosystem']",0 months,Multinational company,3-5 years,"['JavaScript', 'Java', 'TypeScript']",Li ja bismilah,For profit,['Cordova'],Thinking of it.,13 000 - 15 000,Morocco,Male,Yes,"['Paid platforms', 'Books', 'Official documentation']",Windows,"Developer, full-stack",['React.js'],No,The company started remote after covid,Not enough,Sometimes: 1-2 days per month but less than weekly,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Java', 'TypeScript']",Not Bad,"['Google it', 'Call a coworker or friend']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603642477863,Once a year,1-3,Yes,"['React Native', 'Ansible']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule']",Employed full-time,"['Arabic', 'French', 'English']",No,30 to 34 years
0,"['C++', 'C']",Yes,"['Students', 'Teachers', 'Companies engagement with academia']",['Hybrid Cloud'],['I am maintaining my own project'],"['ASP.NET', 'ASP.NET Core']",Less than 1 year,Medium company,3-5 years,"['SQL', 'Bash/Shell/PowerShell', 'C#']",Li ja bismilah,NO,['.NET'],Yes more than 10 blog posts,20 000 - 25 000,Europe,Male,Yes,"['Books', 'Official documentation', 'Blog posts']",Windows + WSL2,"Developer, back-end",['React.js'],No,The company started remote after covid,Enough to start,Often: 1-2 days per week or more,"['SQL', 'Bash/Shell/PowerShell', 'C#']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +5,"['VS Code', 'Other']",NO,1603831994310,Once every few years,0,Yes,['Other'],Very satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development']",Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
0,"['Python', 'Kotlin']",Yes,['Companies engagement with academia'],['Full Cloud'],"['Yes, few PRs in multiple projects']","['jQuery', 'Angular', 'Vue.js', 'Laravel', 'Next']",0 months,Medium company,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'PHP', 'TypeScript', 'C++']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,8 000 - 10 000,Morocco,Male,No,['Others'],MacOS,"Developer, front-end","['React.js', 'Django']",Written/Read,,Enough to start,,"['JavaScript', 'HTML/CSS  😉', 'Java', 'TypeScript']",Good,"['Google it', 'Stackoverflow']",Yes,Bac +5,"['VS Code', 'Sublime']",NO,1603237106034,Once a year,0,Yes,"['TensorFlow', 'Other']",Very satisfied,"['Opportunities for professional development', 'Salary']",Employed full-time,['Arabic'],No,25 to 29 years
0,['Java'],Yes,"['Students', 'Teachers']",['Full Cloud'],['I don’t have an account on Github (or alternatives).'],['Spring Ecosystem'],Few months,Medium company,Less than 1 year,['Java'],Li ja bismilah,NO,['Other'],Thinking of it.,8 000 - 10 000,Morocco,Male,Yes,"['Books', 'Official documentation', 'Blog posts', 'Company resources']",MacOS,"Developer, back-end",['Spring Ecosystem'],Both,The company started remote after covid,Enough to start,,['Java'],Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603285158251,Every few months,More than 3,Yes,['Other'],Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'How widely used or impactful my work output would be', 'The industry that I’d be working in']",Employed full-time,"['Arabic', 'French', 'English']",No,20 to 24 years
0,"['Python', 'TypeScript', 'Go', 'Kotlin']",Yes,['Companies engagement with academia'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Spring Ecosystem'],,Startup,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Java', 'C#', 'C++']",Li ja bismilah,For learning,['Other'],Thinking of it.,,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Official documentation', 'Blog posts']",Windows,"Developer, full-stack","['React.js', 'Express', 'Gatsby', 'Next']",Both,,Enough to start,,"['JavaScript', 'HTML/CSS  😉', 'Java']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos']",Yes,Bac +5,"['VS Code', 'Eclipse', 'Vim']",Yes,1603222073119,Every few months,1-3,Yes,"['Node.js', 'React Native', 'Flutter']",,['Opportunities for professional development'],Student,"['Arabic', 'French', 'English']",Yes,20 to 24 years
0,"['JavaScript', 'Python', 'C#', 'TypeScript', 'Go', 'Ruby', 'Dart']",Yes,['Teachers'],['Not Sure'],"['Yes, few PRs in multiple projects']","['jQuery', 'React.js']",,Startup,1-3 years,['C'],Li ja bismilah,For learning,"['Node.js', 'Unity 3D']","No, I am not interested.",,Morocco,Male,Yes,['YouTube'],Windows,Educator,"['React.js', 'Vue.js', 'Django', 'Laravel']",Both,,Not enough,Never,"['JavaScript', 'HTML/CSS  😉', 'Python', 'Java', 'PHP', 'C++', 'C']",Not Bad,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Netbeans']",NO,1603643626779,Every few months,1-3,No,"['Node.js', '.NET', 'Pandas', 'TensorFlow', 'React Native', 'Unity 3D', 'Flutter', 'Keras']",,['Opportunities for professional development'],Student,['Arabic'],No,20 to 24 years
1 - 3 talks,['Kotlin'],Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']","['Full Cloud', 'Hybrid Cloud']","['Yes, few PRs in multiple projects']","['jQuery', 'React.js', 'Angular', 'Vue.js', 'Angular.js', 'Laravel']",0 months,Multinational company,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'Java', 'C#', 'PHP', 'C++', 'C', 'Swift']",Live/online events,For profit,['React Native'],Yes more than 10 blog posts,> 25 000,Europe,Male,No,"['YouTube', 'Paid platforms', 'Official documentation']",Windows,Academic researcher,['Next'],Both,We were doing remote before,Everything I needed,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Python']",Not Bad,"['Google it', 'Stackoverflow', 'Call a coworker or friend']",Yes,Bac +2,['VS Code'],I don’t know Facebook Developer circles,1603213963228,Every few months,0,Yes,['.NET'],Very satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'How widely used or impactful my work output would be', 'The industry that I’d be working in', 'Salary']",Student,"['Arabic', 'Amazigh', 'French', 'English', 'Others']",No,15 to 19 years
0,"['TypeScript', 'Dart']",Yes,"['Academic defined subjects (system)', 'Companies engagement with academia']",['Not Sure'],['I am maintaining my own project'],"['React.js', 'Laravel']",More than 1 year,Freelance,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'Python', 'PHP']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,6 000 - 8 000,Morocco,Male,Yes,"['YouTube', 'Books', 'Official documentation']",Linux-based,"Developer, full-stack","['Vue.js', 'Django', 'Gatsby', 'Next']",Both,No remote policy yet,Enough to start,Never,['JavaScript'],Excellent,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",NO,Bac +2,"['VS Code', 'Sublime']",Yes,1603228004761,Every few months,1-3,No,['Flutter'],Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Opportunities for professional development']",Looking for work,"['Arabic', 'French', 'English', 'Others']",Yes,20 to 24 years
0,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'C#', 'Swift', 'Objective-C']",No,"['Academic defined subjects (system)', 'Companies engagement with academia']",['Hybrid Cloud'],"['Yes, few PRs in multiple projects']","['jQuery', 'React.js', 'Angular', 'Vue.js', 'Angular.js', 'Django', 'Laravel', 'Other']",More than 1 year,Multinational company,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'C#', 'Swift', 'Objective-C']",Li ja bismilah,For learning,"['Node.js', '.NET']",Yes more than 10 blog posts,10 000 - 13 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Books', 'Blog posts', 'Company resources', 'Others']",MacOS,Designer,"['jQuery', 'React.js', 'Angular', 'Vue.js', 'Angular.js', 'Flask', 'Laravel', 'Gatsby']",Both,No remote policy yet,Enough to start,Often: 1-2 days per week or more,['Other'],Good,"['Google it', 'Stackoverflow']",NO,Bac +3,"['VS Code', 'Eclipse', 'Atom']",I don’t know Facebook Developer circles,1603233367634,Once every few years,0,Yes,"['Node.js', '.NET']",Very dissatisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'The industry that I’d be working in']",Student,"['Arabic', 'French', 'English', 'Others']",No,20 to 24 years
0,"['TypeScript', 'Go', 'Dart']",Yes,['Students'],['shared hosting'],['I am maintaining my own project'],['Vue.js'],,Multinational company,Less than 1 year,"['Python', 'Java']",In-person events?,NO,['Node.js'],"No, I am not interested.",8 000 - 10 000,Morocco,Male,No,['Books'],Windows,"Developer, full-stack","['React.js', 'Angular', 'Django']",Spoken,No remote policy yet,Not enough,,['JavaScript'],Good,"['Google it', 'Stackoverflow']",NO,Bac +3,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",NO,1603208903180,Once a year,0,Yes,"['React Native', 'Unity 3D', 'Flutter']",Very satisfied,['Salary'],Student,['Amazigh'],Yes,20 to 24 years
0,['JavaScript'],No,['Companies engagement with academia'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Other'],More than 1 year,Freelance,1-3 years,"['JavaScript', 'Python', 'Java']",Li ja bismilah,NO,['Other'],Thinking of it.,10 000 - 13 000,Morocco,Female,Yes,['Others'],Windows,Designer,['Angular'],No,The company started remote after covid,Not enough,Sometimes: 1-2 days per month but less than weekly,['Other'],Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.']",NO,Bac +5,['Other'],I don’t know Facebook Developer circles,1603276734815,Once every few years,1-3,Yes,['Other'],Slightly satisfied,"['Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'How widely used or impactful my work output would be', 'The industry that I’d be working in', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
0,"['Python', 'TypeScript', 'Kotlin']",Yes,"['Students', 'Academic defined subjects (system)', 'Companies engagement with academia']","['shared hosting', 'Managed PaaS (heroku, app platform ...)']","['Yes, few PRs in multiple projects']","['jQuery', 'Symfony']",0 months,Multinational company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Bash/Shell/PowerShell', 'C#', 'PHP', 'C', 'Dart']",In-person events?,For learning,['Flutter'],"No, I am not interested.",< 6 000,Morocco,Male,Yes,"['YouTube', 'Official documentation', 'Company resources']",MacOS,"Developer, full-stack","['React.js', 'Angular', 'Vue.js', 'Django', 'Laravel']",Both,We were doing remote before,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL']",Good,"['Google it', 'Stackoverflow']",NO,Bac +2,['VS Code'],Yes,1603439450007,Every few months,1-3,Yes,"['Node.js', 'React Native']",Slightly satisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'The industry that I’d be working in']","Freelancer, or self-employed","['Arabic', 'French', 'English']",Yes,20 to 24 years
0,"['Python', 'Java']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']",['Not Sure'],['I am maintaining my own project'],['React.js'],,Medium company,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'Bash/Shell/PowerShell', 'TypeScript']",Li ja bismilah,For learning,['Other'],"No, I am not interested.",,Morocco,Male,Yes,"['YouTube', 'Official documentation', 'Blog posts']",Windows,"Developer, front-end",['Express'],Both,,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Self-taught,['VS Code'],Yes,1603370490883,Once a decade,0,Yes,['Other'],,"['Languages, frameworks, and other technologies I’d be working with', 'Remote work options', 'Salary']",Student,"['Arabic', 'French', 'English']",Yes,15 to 19 years
0,"['JavaScript', 'Python', 'C#']",Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",['Not Sure'],['I am maintaining my own project'],['Other'],,Startup,1-3 years,"['C++', 'C']",Li ja bismilah,NO,['Other'],"No, I am not interested.",,Morocco,Male,,"['YouTube', 'Official documentation', 'Blog posts']",MacOS,"Developer, full-stack",['Other'],Both,,Not enough,,"['JavaScript', 'HTML/CSS  😉', 'PHP', 'C']",Not Bad,['Google it'],NO,Bac +3,"['VS Code', 'Vim']",NO,1603310834571,Once a year,0,Yes,['Other'],,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Salary']",Student,"['Arabic', 'French', 'English']",No,20 to 24 years
0,"['C++', 'Other']",Yes,['Academic defined subjects (system)'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],"['jQuery', 'React.js', 'Express', 'Vue.js']",More than 1 year,Freelance,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'C', 'Other']",Li ja bismilah,For learning,['Other'],Thinking of it.,,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Official documentation']",Windows,"Developer, front-end","['jQuery', 'React.js', 'Express', 'Vue.js', 'Angular.js', 'Other']",No,,Not enough,Never,['HTML/CSS  😉'],Excellent,"['Google it', 'Watch help/tutorial videos']",Yes,Self-taught,"['VS Code', 'Vim']",Yes,1603321917378,Every few months,1-3,No,"['Node.js', 'Other']",,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'Salary']",Student,"['Arabic', 'French', 'English']",Yes,25 to 29 years
0,"['C++', 'Kotlin', 'Swift', 'Other']",Yes,"['Teachers', 'Academic defined subjects (system)']",['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Other'],0 months,Startup,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'C']",Li ja bismilah,NO,['Other'],"No, I am not interested.",,Morocco,Female,Yes,"['YouTube', 'Paid platforms', 'Official documentation']",Windows,"Developer, full-stack","['React.js', 'Angular', 'Express', 'Vue.js', 'Angular.js', 'Django', 'Gatsby', 'Next']",Both,The company started remote after covid,Not enough,,"['JavaScript', 'HTML/CSS  😉']",Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",NO,1603371885674,Once a year,More than 3,Yes,['Other'],Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'How widely used or impactful my work output would be', 'The industry that I’d be working in']",Student,"['Arabic', 'French', 'English', 'Others']",No,20 to 24 years
0,"['JavaScript', 'Java', 'R']",Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']","['Hybrid Cloud', 'shared hosting']","['Yes, few PRs in multiple projects']",['Other'],0 months,Startup,Less than 1 year,"['HTML/CSS 😉', 'SQL', 'Python', 'PHP', 'C++', 'C', 'Swift', 'Other']",Li ja bismilah,For profit,['Flutter'],Yes more than 10 blog posts,< 6 000,Morocco,Male,,"['YouTube', 'Paid platforms', 'Books', 'Blog posts']",MacOS,"Developer, mobile","['Django', 'Laravel']",Spoken,No remote policy yet,Not enough,Sometimes: 1-2 days per month but less than weekly,['Dart'],Bad,['Google it'],NO,Self-taught,['Other'],I don’t know Facebook Developer circles,1603818977756,Every few months,1-3,Yes,"['Node.js', '.NET', 'React Native']",Very satisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'How widely used or impactful my work output would be', 'The industry that I’d be working in', 'Salary']","Freelancer, or self-employed","['Arabic', 'Amazigh', 'French', 'English', 'Others']",No,20 to 24 years
0,"['Kotlin', 'R', 'Scala']",Yes,"['Academic defined subjects (system)', 'Companies engagement with academia']",['Full Cloud'],['I am maintaining my own project'],"['jQuery', 'Angular', 'Express', 'Spring Ecosystem']",Less than 1 year,Startup,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'Java', 'PHP', 'TypeScript']",Live/online events,For learning,['Node.js'],Thinking of it.,6 000 - 8 000,Morocco,Male,No,"['Paid platforms', 'Books', 'Official documentation', 'Blog posts']",Windows,"Developer, game or graphics","['Django', 'Flask', 'Laravel', 'Symfony', 'Next']",Both,No remote policy yet,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'Java', 'TypeScript']",Not Bad,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +3,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Eclipse', 'Netbeans']",Yes,1603273757179,Every few months,1-3,Yes,"['React Native', 'Flutter']",Slightly satisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'The industry that I’d be working in']",Looking for work,"['Arabic', 'French', 'English']",Yes,25 to 29 years
0,"['JavaScript', 'PHP']",Yes,['Companies engagement with academia'],['shared hosting'],['I am maintaining my own project'],"['React.js', 'Laravel']",Few months,Medium company,Less than 1 year,"['JavaScript', 'PHP']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,< 6 000,Morocco,Male,No,"['YouTube', 'Blog posts']",Windows,"Developer, full-stack","['React.js', 'Express', 'Laravel', 'Next']",Spoken,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['JavaScript', 'PHP']",Not Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos']",NO,Bac +2,['VS Code'],I don’t know Facebook Developer circles,1603379128378,Once a year,0,Yes,"['Node.js', 'React Native']",,"['Languages, frameworks, and other technologies I’d be working with', 'The industry that I’d be working in']",Looking for work,"['Arabic', 'English']",Yes,20 to 24 years
1 - 3 talks,"['TypeScript', 'Go', 'Rust']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",['Full Cloud'],['I am maintaining my own project'],"['Django', 'Flask']",Less than 1 year,Startup,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'Java', 'C++', 'C', 'Go']",Li ja bismilah,For profit,['Node.js'],Yes  less than 10 blog posts,6 000 - 8 000,Morocco,Male,No,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts', 'Company resources']",Linux-based,"Developer, back-end","['React.js', 'Angular', 'Express', 'Vue.js']",Both,We were doing remote before,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Python']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",Yes,Bac +5,"['VS Code', 'Eclipse', 'Vim']",Yes,1603214556218,Every few months,0,Yes,"['Pandas', 'TensorFlow', 'React Native', 'Flutter', 'Terraform', 'Keras', 'Apache Spark', 'Torch/PyTorch']",Very satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'How widely used or impactful my work output would be', 'The industry that I’d be working in', 'Salary']","Freelancer, or self-employed","['Arabic', 'French', 'English']",No,25 to 29 years
